Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.57753,0,0,0,0,-0.00266164,0.00154018,-0.000125997,-7.40572e-06,0.453549,0,0,0,-0.0243771,0.0124117,-0.00237314,0.000165505,1.4156,0,0,0,-0.10012,0.0547086,-0.0108896,0.000774015,0,0,0,0,0,0,0,0
3.723,0.14689,0.222276,0.100096,0.0011942,0.0358462,-0.0262634,0.0058168,-0.000431585,0,-0.214462,0.0168153,0.0153683,0.0173567,-0.0112517,0.00240046,-0.000178562,0.0507996,-0.459312,0.129781,0.0346266,-0.0199975,0.00477761,-0.000787577,6.00587e-05,0,0,0,0,0,0,0,0
3.47642,1.73595,0.106127,-0.17804,-0.00399478,-0.144608,0.103766,-0.0247232,0.00200655,0.136319,0.297387,0.0612186,-0.00896004,0.0950382,-0.069759,0.017009,-0.00140286,0,0.148078,-0.0486616,-0.00995224,-0.0302439,0.0262971,-0.00662005,0.00055034,0,0,0,0,0,0,0,0
4.00702,0.0245595,-0.326619,0.120913,0.0088183,-0.000902333,-0.00372383,0.000982779,-7.31433e-05,1.40919,-0.0898021,-0.143421,0.0027576,-0.0621643,0.0419383,-0.00906288,0.000656377,0.135367,0.202614,0.0675166,-0.00172727,0.0906455,-0.0565179,0.0117319,-0.000827666,0,0,0,0,0,0,0,0
3.74068,0,0.00690345,-0.0421211,0.00106486,-0.00483234,0.00608382,-0.00148373,0.000111694,-0.406359,-0.199429,0.0757038,0.000952398,0.0543964,-0.0347212,0.00747329,-0.000551491,1.73908,-0.130035,-0.170064,0.0045179,-0.0765278,0.0537386,-0.012162,0.000927574,0,0,0,0,0,0,0,0
3.21754,0.0815468,0.302525,0.108821,-0.00776612,0.0847925,-0.0698345,0.0184443,-0.00163869,0,0.0691075,-0.0542294,0.000532978,-0.00651309,0.00953233,-0.00279589,0.000255818,-0.329924,-0.282728,0.131254,0.00372328,0.0739833,-0.0586976,0.0151483,-0.00132737,0,0,0,0,0,0,0,0
4.05978,1.54327,0.0713306,-0.176135,-0.00558674,-0.090841,0.0584425,-0.0121735,0.000856691,0.0789043,0.179097,0.0793293,0.000546709,0.0692778,-0.0454478,0.00963548,-0.000686727,0,0.11341,-0.0488553,-0.00824769,-0.0158824,0.0129298,-0.00282267,0.000200935,0,0,0,0,0,0,0,0
4.39423,-0.600749,-0.272254,0.114361,0.0055932,0.0312012,-0.0192456,0.00367488,-0.000235319,1.50608,-0.101405,-0.115497,0.000385935,-0.0694526,0.0401901,-0.00767295,0.000496575,0.0627812,0.239649,0.0836079,-0.00210065,0.0448387,-0.0282964,0.00561883,-0.000371808,0,0,0,0,0,0,0,0
4.40091,0,0.0341254,-0.0705883,0.00323858,0.00351219,0.000344585,-0.000176053,1.20014e-05,-0.716767,-0.144087,0.116659,-0.000724257,0.00939414,-0.00697896,0.00136718,-8.70203e-05,1.5997,-0.183205,-0.126415,0.0053291,-0.0282504,0.0175194,-0.00338965,0.000219185,0,0,0,0,0,0,0,0
3.29893,0.0500788,0.311282,0.0994785,-0.010751,0.110434,-0.0854925,0.0219031,-0.00189948,0,0.070363,-0.0738991,0.00112947,0.0197274,-0.00986864,0.00228744,-0.000200105,-0.494434,-0.186784,0.119906,0.000437401,0.0566792,-0.0435016,0.0108445,-0.00091814,0,0,0,0,0,0,0,0
